boosting_rounds,wrmsse,mae,rmse,actual_mean,prediction_mean,minimum_prediction,maximum_prediction,non_finite_predictions,negative_predictions,prediction_rows,evaluation_seconds,fold,demand_type,stage,fit_train_end,validation_start,validation_end
1000,0.7431836881271409,0.6406794987321928,1.0950723605895196,0.6594642857142857,0.6672180146123479,1.410557956660341e-06,9.781230926513672,0,0,5600,0.7269840000662953,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
1100,0.7410116495932666,0.637452872832887,1.094834866896118,0.6594642857142857,0.6563957715988292,1.213971358993149e-06,9.871956825256348,0,0,5600,0.5720206999685615,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
1200,0.7373906605995807,0.6368189719655113,1.0917206319167716,0.6594642857142857,0.6552479325378989,8.583097041992005e-07,9.137494087219238,0,0,5600,0.5803082000929862,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
1210,0.7401854126272039,0.6361518670018556,1.090632596256411,0.6594642857142857,0.6551798451687996,7.688718710596731e-07,9.153434753417969,0,0,5600,0.547933500027284,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1220,0.7383145955912875,0.635773669418445,1.0901418753393453,0.6594642857142857,0.6536766853855294,7.269244406415964e-07,9.131961822509766,0,0,5600,0.5455994000658393,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1230,0.7329611256826563,0.6367643573930514,1.0901807044733445,0.6594642857142857,0.6572475153097816,7.101279493326729e-07,9.11841869354248,0,0,5600,0.5499442000873387,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1240,0.7347436789490496,0.6372633174303629,1.0921216554929285,0.6594642857142857,0.656004700529778,6.733796453772811e-07,9.087242126464844,0,0,5600,0.5248257000930607,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1250,0.7316778709189689,0.6354203629709332,1.0876803424159927,0.6594642857142857,0.6570618720982789,6.49219032311521e-07,8.963544845581055,0,0,5600,0.5650821998715401,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1260,0.7339931351580554,0.6367212783873643,1.0894578840378857,0.6594642857142857,0.6586397251223629,6.398552159225801e-07,9.360599517822266,0,0,5600,0.5622597001492977,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1270,0.734176794628394,0.6361071485024934,1.0877902255301928,0.6594642857142857,0.6586341234217726,6.378081707225647e-07,9.07911491394043,0,0,5600,0.5358634998556226,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1280,0.7331728970734139,0.635220303176555,1.0884380684570343,0.6594642857142857,0.6561995770132552,6.350489911710611e-07,9.187142372131348,0,0,5600,0.5630765999667346,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1290,0.735639647247158,0.63486020404367,1.0869182382794447,0.6594642857142857,0.6561808903595548,6.519732664855837e-07,9.038222312927246,0,0,5600,0.536260699853301,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1300,0.7360597130877771,0.6350365280849843,1.0893498937862562,0.6594642857142857,0.6529252352047459,6.255309017433319e-07,8.936044692993164,0,0,5600,0.6033319998532534,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
1310,0.7348743252957239,0.6358268182690564,1.09063182436899,0.6594642857142857,0.653786080719047,5.724389779970807e-07,8.95140552520752,0,0,5600,0.5417923000641167,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1320,0.7376977202690004,0.6355931352770297,1.0911159035615514,0.6594642857142857,0.6536676057737412,5.897861115045089e-07,9.411798477172852,0,0,5600,0.5512190000154078,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1330,0.7352311016947595,0.6348343516522787,1.0879782688018766,0.6594642857142857,0.653136322537917,5.886926146558835e-07,8.963213920593262,0,0,5600,0.5535676998551935,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1340,0.7388280696590128,0.6341218519610642,1.0892614182539835,0.6594642857142857,0.6493021682215021,6.289608904808119e-07,9.095765113830566,0,0,5600,0.5570288999006152,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1350,0.7422665923003631,0.6352097895014746,1.0894475116596443,0.6594642857142857,0.65050787330116,5.793530135633773e-07,9.108579635620117,0,0,5600,0.5313015999272466,1,intermittent,refined,2015-12-06,2015-12-07,2016-01-03
1400,0.7413095717991619,0.6370695308176081,1.0945836260938395,0.6594642857142857,0.6518682885404173,4.4996858150625485e-07,9.2893648147583,0,0,5600,0.5837127000559121,1,intermittent,coarse,2015-12-06,2015-12-07,2016-01-03
