level,hierarchy_series,level_weight_share,naive_level_wrmsse,naive_wrmsse_contribution,xgb_level_wrmsse,xgb_wrmsse_contribution,fold,demand_type,level_wrmsse_difference,xgb_better
L1_Total,1,0.08333333333333333,0.5073379502191464,0.0422781625182622,0.45375392886707244,0.03781282740558937,3,smooth,0.05358402135207396,True
L2_State,3,0.08333333333333333,0.5767067909750174,0.04805889924791811,0.520655919184719,0.04338799326539325,3,smooth,0.05605087179029844,True
L3_Store,10,0.08333333333333334,0.7401545292640281,0.06167954410533569,0.6151771863090169,0.05126476552575141,3,smooth,0.12497734295501128,True
L4_Category,3,0.08333333333333334,0.604759368600333,0.05039661405002775,0.5289289789567219,0.044077414913060164,3,smooth,0.0758303896436111,True
L5_Department,5,0.08333333333333334,0.6523898681976393,0.054365822349803285,0.5557727925760959,0.04631439938134133,3,smooth,0.09661707562154342,True
L6_State_Category,9,0.08333333333333333,0.6886482203270584,0.057387351693921534,0.6071238864341666,0.05059365720284721,3,smooth,0.08152433389289182,True
L7_State_Department,14,0.08333333333333333,0.717435378906051,0.059786281575504245,0.6248475268199822,0.052070627234998515,3,smooth,0.09258785208606879,True
L8_Store_Category,29,0.08333333333333333,0.8226918860728495,0.06855765717273746,0.6756263409703251,0.05630219508086043,3,smooth,0.14706554510252434,True
L9_Store_Department,39,0.08333333333333333,0.8432307727764436,0.07026923106470363,0.6892216891285293,0.057435140760710775,3,smooth,0.15400908364791432,True
L10_Item,119,0.08333333333333333,1.0277247929316577,0.08564373274430481,0.8421317402712944,0.07017764502260787,4,erratic,0.1855930526603633,True
L11_Item_State,171,0.08333333333333333,1.0625351561119605,0.08854459634266337,0.8496651222205298,0.07080542685171082,4,erratic,0.21287003389143067,True
L12_Item_Store,200,0.08333333333333333,1.0647689308650006,0.08873074423875003,0.8542108023403597,0.07118423352836331,4,erratic,0.21055812852464084,True
L1_Total,1,0.08333333333333333,0.49534927970156534,0.04127910664179711,0.32078087082109275,0.026731739235091062,4,erratic,0.1745684088804726,True
L2_State,3,0.08333333333333334,0.743806903493332,0.06198390862444434,0.5387367452687231,0.044894728772393595,4,erratic,0.20507015822460894,True
L3_Store,10,0.08333333333333333,0.8481656809408663,0.07068047341173886,0.6665224466662828,0.05554353722219023,4,erratic,0.1816432342745835,True
L4_Category,3,0.08333333333333333,0.5990603402710547,0.04992169502258789,0.3693985398758987,0.03078321165632489,4,erratic,0.229661800395156,True
L5_Department,5,0.08333333333333333,0.679474802598643,0.056622900216553584,0.4320552674167191,0.036004605618059925,4,erratic,0.2474195351819239,True
L6_State_Category,9,0.08333333333333333,0.8531391876836116,0.07109493230696763,0.632188760969159,0.05268239674742991,4,erratic,0.22095042671445264,True
L7_State_Department,15,0.08333333333333333,0.8231978512971385,0.0685998209414282,0.69658181996578,0.05804848499714833,4,erratic,0.12661603133135857,True
L8_Store_Category,25,0.08333333333333333,0.9052816432102789,0.07544013693418991,0.7399646524329567,0.06166372103607973,4,erratic,0.1653169907773222,True
L9_Store_Department,39,0.08333333333333333,0.9443289704181099,0.07869408086817582,0.7950048725757419,0.0662504060479785,4,erratic,0.149324097842368,True
L10_Item,191,0.08333333333333333,1.1734131637946397,0.09778443031621996,0.9248510072299069,0.0770709172691589,4,intermittent,0.2485621565647328,True
L11_Item_State,198,0.08333333333333333,1.1732938946735667,0.09777449122279722,0.9232887935282469,0.07694073279402057,4,intermittent,0.2500051011453198,True
L12_Item_Store,200,0.08333333333333333,1.1858448780657689,0.09882040650548074,0.9040264662509431,0.07533553885424525,4,intermittent,0.2818184118148258,True
L1_Total,1,0.08333333333333333,0.9726780116674654,0.08105650097228878,0.8257057111094277,0.06880880925911897,4,intermittent,0.14697230055803767,True
L2_State,3,0.08333333333333333,1.0826079123817673,0.09021732603181394,0.9004720846156333,0.07503934038463611,4,intermittent,0.18213582776613402,True
L3_Store,10,0.08333333333333333,1.2229898210365107,0.10191581841970922,1.027056655170078,0.08558805459750649,4,intermittent,0.19593316586643272,True
L4_Category,3,0.08333333333333334,1.0444669603092218,0.08703891335910183,0.903482248623734,0.07529018738531118,4,intermittent,0.14098471168548776,True
L5_Department,7,0.08333333333333333,1.102056290579005,0.09183802421491707,0.8918107494463061,0.07431756245385884,4,intermittent,0.2102455411326989,True
