fold,demand_type,level,hierarchy_series,level_weight_share,wrmsse_contribution,invalid_scale_count,minimum_test_days,maximum_test_days,level_wrmsse,weight_difference
3,lumpy,L9_Store_Department,59,0.08333333333333333,0.11711494238081048,0,28,28,1.405379308569726,0.0
4,smooth,L10_Item,142,0.08333333333333333,0.07945380408419636,0,28,28,0.9534456490103563,0.0
4,smooth,L11_Item_State,180,0.08333333333333333,0.07983782482833146,0,28,28,0.9580538979399775,0.0
4,smooth,L12_Item_Store,200,0.08333333333333333,0.08102070253229685,0,28,28,0.9722484303875621,0.0
4,smooth,L1_Total,1,0.08333333333333333,0.046442257364646966,0,28,28,0.5573070883757636,0.0
4,smooth,L2_State,3,0.08333333333333333,0.05004699960503295,0,28,28,0.6005639952603954,0.0
4,smooth,L3_Store,10,0.08333333333333334,0.06132209561029735,0,28,28,0.7358651473235681,1.3877787807814457e-17
4,smooth,L4_Category,3,0.08333333333333334,0.054501592820793254,0,28,28,0.6540191138495189,1.3877787807814457e-17
4,smooth,L5_Department,5,0.08333333333333333,0.056806546091235255,0,28,28,0.6816785530948231,0.0
4,smooth,L6_State_Category,9,0.08333333333333333,0.058733856075208736,0,28,28,0.7048062729025049,0.0
4,smooth,L7_State_Department,14,0.08333333333333333,0.06098255177067513,0,28,28,0.7317906212481016,0.0
4,smooth,L8_Store_Category,29,0.08333333333333333,0.06778527102140568,0,28,28,0.8134232522568682,0.0
4,smooth,L9_Store_Department,39,0.08333333333333333,0.06986564855429343,0,28,28,0.8383877826515213,0.0
4,erratic,L10_Item,119,0.08333333333333333,0.08564373274430481,0,28,28,1.0277247929316577,0.0
4,erratic,L11_Item_State,171,0.08333333333333333,0.08854459634266337,0,28,28,1.0625351561119605,0.0
4,erratic,L12_Item_Store,200,0.08333333333333333,0.08873074423875003,0,28,28,1.0647689308650006,0.0
4,erratic,L1_Total,1,0.08333333333333333,0.04127910664179711,0,28,28,0.49534927970156534,0.0
4,erratic,L2_State,3,0.08333333333333334,0.06198390862444434,0,28,28,0.743806903493332,1.3877787807814457e-17
4,erratic,L3_Store,10,0.08333333333333333,0.07068047341173886,0,28,28,0.8481656809408663,0.0
4,erratic,L4_Category,3,0.08333333333333333,0.04992169502258789,0,28,28,0.5990603402710547,0.0
4,erratic,L5_Department,5,0.08333333333333333,0.056622900216553584,0,28,28,0.679474802598643,0.0
4,erratic,L6_State_Category,9,0.08333333333333333,0.07109493230696763,0,28,28,0.8531391876836116,0.0
4,erratic,L7_State_Department,15,0.08333333333333333,0.0685998209414282,0,28,28,0.8231978512971385,0.0
4,erratic,L8_Store_Category,25,0.08333333333333333,0.07544013693418991,0,28,28,0.9052816432102789,0.0
4,erratic,L9_Store_Department,39,0.08333333333333333,0.07869408086817582,0,28,28,0.9443289704181099,0.0
4,intermittent,L10_Item,191,0.08333333333333333,0.09778443031621996,0,28,28,1.1734131637946397,0.0
4,intermittent,L11_Item_State,198,0.08333333333333333,0.09777449122279722,0,28,28,1.1732938946735667,0.0
4,intermittent,L12_Item_Store,200,0.08333333333333333,0.09882040650548074,0,28,28,1.1858448780657689,0.0
4,intermittent,L1_Total,1,0.08333333333333333,0.08105650097228878,0,28,28,0.9726780116674654,0.0
4,intermittent,L2_State,3,0.08333333333333333,0.09021732603181394,0,28,28,1.0826079123817673,0.0
4,intermittent,L3_Store,10,0.08333333333333333,0.10191581841970922,0,28,28,1.2229898210365107,0.0
4,intermittent,L4_Category,3,0.08333333333333334,0.08703891335910183,0,28,28,1.0444669603092218,1.3877787807814457e-17
4,intermittent,L5_Department,7,0.08333333333333333,0.09183802421491707,0,28,28,1.102056290579005,0.0
4,intermittent,L6_State_Category,9,0.08333333333333333,0.09898885539180291,0,28,28,1.187866264701635,0.0
4,intermittent,L7_State_Department,21,0.08333333333333333,0.09984485059240401,0,28,28,1.1981382071088482,0.0
4,intermittent,L8_Store_Category,30,0.08333333333333333,0.10413252340647604,0,28,28,1.2495902808777126,0.0
4,intermittent,L9_Store_Department,60,0.08333333333333333,0.10186266041957354,0,28,28,1.2223519250348824,0.0
4,lumpy,L10_Item,182,0.08333333333333333,0.11882951225361987,0,28,28,1.4259541470434385,0.0
4,lumpy,L11_Item_State,197,0.08333333333333333,0.11864375006310954,0,28,28,1.4237250007573146,0.0
4,lumpy,L12_Item_Store,200,0.08333333333333333,0.11876166796642344,0,28,28,1.4251400155970815,0.0
4,lumpy,L1_Total,1,0.08333333333333333,0.05526430667495276,0,28,28,0.6631716800994332,0.0
4,lumpy,L2_State,3,0.08333333333333333,0.0675013400411856,0,28,28,0.8100160804942272,0.0
4,lumpy,L3_Store,10,0.08333333333333333,0.09146517024378481,0,28,28,1.0975820429254177,0.0
4,lumpy,L4_Category,3,0.08333333333333333,0.06835607362273638,0,28,28,0.8202728834728366,0.0
4,lumpy,L5_Department,7,0.08333333333333333,0.09967446247156882,0,28,28,1.1960935496588259,0.0
4,lumpy,L6_State_Category,9,0.08333333333333334,0.08684589429173192,0,28,28,1.042150731500783,1.3877787807814457e-17
4,lumpy,L7_State_Department,21,0.08333333333333333,0.11444583836975084,0,28,28,1.3733500604370101,0.0
4,lumpy,L8_Store_Category,30,0.08333333333333333,0.11009899024397563,0,28,28,1.3211878829277075,0.0
4,lumpy,L9_Store_Department,59,0.08333333333333333,0.11885556388521151,0,28,28,1.4262667666225382,0.0
5,smooth,L10_Item,142,0.08333333333333333,0.07912719740568462,0,28,28,0.9495263688682155,0.0
5,smooth,L11_Item_State,180,0.08333333333333333,0.08086255388740876,0,28,28,0.9703506466489051,0.0
5,smooth,L12_Item_Store,200,0.08333333333333333,0.08058772988343163,0,28,28,0.9670527586011796,0.0
5,smooth,L1_Total,1,0.08333333333333333,0.03888204645365054,0,28,28,0.46658455744380645,0.0
5,smooth,L2_State,3,0.08333333333333333,0.04569443119676318,0,28,28,0.5483331743611582,0.0
5,smooth,L3_Store,10,0.08333333333333334,0.05657053039199987,0,28,28,0.6788463647039984,1.3877787807814457e-17
5,smooth,L4_Category,3,0.08333333333333334,0.04500966516314263,0,28,28,0.5401159819577115,1.3877787807814457e-17
5,smooth,L5_Department,5,0.08333333333333334,0.048972655346192925,0,28,28,0.587671864154315,1.3877787807814457e-17
5,smooth,L6_State_Category,9,0.08333333333333333,0.054994433074908214,0,28,28,0.6599331968988986,0.0
5,smooth,L7_State_Department,14,0.08333333333333333,0.057909433432596885,0,28,28,0.6949132011911626,0.0
5,smooth,L8_Store_Category,29,0.08333333333333333,0.06443531186992182,0,28,28,0.7732237424390619,0.0
5,smooth,L9_Store_Department,39,0.08333333333333333,0.06665413035206483,0,28,28,0.7998495642247779,0.0
5,erratic,L10_Item,119,0.08333333333333333,0.09567332399239468,0,28,28,1.1480798879087364,0.0
5,erratic,L11_Item_State,171,0.08333333333333333,0.09861386658337157,0,28,28,1.1833663990004588,0.0
5,erratic,L12_Item_Store,200,0.08333333333333333,0.10019196508147721,0,28,28,1.2023035809777265,0.0
5,erratic,L1_Total,1,0.08333333333333333,0.04743440561348184,0,28,28,0.5692128673617821,0.0
5,erratic,L2_State,3,0.08333333333333333,0.05456948469938548,0,28,28,0.6548338163926258,0.0
5,erratic,L3_Store,10,0.08333333333333333,0.06702193192527231,0,28,28,0.8042631831032677,0.0
5,erratic,L4_Category,3,0.08333333333333334,0.051497564067839494,0,28,28,0.6179707688140739,1.3877787807814457e-17
5,erratic,L5_Department,5,0.08333333333333333,0.05294046884737054,0,28,28,0.6352856261684465,0.0
5,erratic,L6_State_Category,9,0.08333333333333333,0.06078101484726138,0,28,28,0.7293721781671366,0.0
5,erratic,L7_State_Department,15,0.08333333333333333,0.07117661469681755,0,28,28,0.8541193763618106,0.0
5,erratic,L8_Store_Category,25,0.08333333333333333,0.0743878510696936,0,28,28,0.8926542128363233,0.0
5,erratic,L9_Store_Department,39,0.08333333333333333,0.08668945266306306,0,28,28,1.0402734319567568,0.0
5,intermittent,L10_Item,191,0.08333333333333333,0.10518811131580176,0,28,28,1.2622573357896212,0.0
5,intermittent,L11_Item_State,198,0.08333333333333333,0.1053073831526033,0,28,28,1.2636885978312395,0.0
5,intermittent,L12_Item_Store,200,0.08333333333333333,0.10192840840785514,0,28,28,1.2231409008942618,0.0
5,intermittent,L1_Total,1,0.08333333333333333,0.1056455361305721,0,28,28,1.2677464335668653,0.0
5,intermittent,L2_State,3,0.08333333333333333,0.12907853927792662,0,28,28,1.5489424713351194,0.0
5,intermittent,L3_Store,10,0.08333333333333333,0.11455961128571039,0,28,28,1.3747153354285249,0.0
5,intermittent,L4_Category,3,0.08333333333333333,0.11396215009467449,0,28,28,1.367545801136094,0.0
5,intermittent,L5_Department,7,0.08333333333333333,0.11483987557583866,0,28,28,1.378078506910064,0.0
5,intermittent,L6_State_Category,9,0.08333333333333334,0.11885392148052007,0,28,28,1.4262470577662407,1.3877787807814457e-17
5,intermittent,L7_State_Department,21,0.08333333333333333,0.11948941811430326,0,28,28,1.4338730173716392,0.0
5,intermittent,L8_Store_Category,30,0.08333333333333333,0.10913519439537082,0,28,28,1.30962233274445,0.0
5,intermittent,L9_Store_Department,60,0.08333333333333333,0.108847913782166,0,28,28,1.3061749653859922,0.0
5,lumpy,L10_Item,182,0.08333333333333333,0.10686765167519538,0,28,28,1.2824118201023447,0.0
5,lumpy,L11_Item_State,197,0.08333333333333333,0.10522051967936905,0,28,28,1.2626462361524287,0.0
5,lumpy,L12_Item_Store,200,0.08333333333333333,0.10569238476471844,0,28,28,1.2683086171766214,0.0
5,lumpy,L1_Total,1,0.08333333333333333,0.09374326954138719,0,28,28,1.1249192344966463,0.0
5,lumpy,L2_State,3,0.08333333333333333,0.08720876286931362,0,28,28,1.0465051544317634,0.0
5,lumpy,L3_Store,10,0.08333333333333333,0.10126787279828887,0,28,28,1.2152144735794665,0.0
5,lumpy,L4_Category,3,0.08333333333333333,0.1018319856152569,0,28,28,1.221983827383083,0.0
5,lumpy,L5_Department,7,0.08333333333333333,0.10204038558384036,0,28,28,1.2244846270060845,0.0
5,lumpy,L6_State_Category,9,0.08333333333333333,0.09959695836676097,0,28,28,1.1951635004011316,0.0
5,lumpy,L7_State_Department,21,0.08333333333333333,0.10419012350609018,0,28,28,1.2502814820730823,0.0
5,lumpy,L8_Store_Category,30,0.08333333333333334,0.11086466371810476,0,28,28,1.330375964617257,1.3877787807814457e-17
5,lumpy,L9_Store_Department,59,0.08333333333333333,0.11310883951711512,0,28,28,1.3573060742053815,0.0
