fold,demand_type,model,level,level_name,series_count,weight_sum,wrmsse_contribution,level_normalised_wrmsse
5,erratic,LSTM,2,State,3,0.08333333333333333,0.09567562862144287,1.1481075434573145
5,erratic,LSTM,3,Store,10,0.08333333333333333,0.09273505410658515,1.112820649279022
5,erratic,LSTM,4,Category,3,0.08333333333333334,0.10324076594770487,1.2388891913724582
5,erratic,LSTM,5,Department,5,0.08333333333333334,0.09407292646600002,1.128875117592
5,erratic,LSTM,6,State × Category,9,0.08333333333333333,0.08969447057587338,1.0763336469104805
5,erratic,LSTM,7,State × Department,15,0.08333333333333331,0.09818500406349984,1.1782200487619983
5,erratic,LSTM,8,Store × Category,25,0.08333333333333334,0.0888818831769109,1.0665825981229307
5,erratic,LSTM,9,Store × Department,39,0.08333333333333334,0.0925826086943041,1.110991304331649
5,erratic,LSTM,10,Item,119,0.08333333333333331,0.09108102372692323,1.092972284723079
5,erratic,LSTM,11,Item × State,171,0.08333333333333334,0.09344062796853891,1.1212875356224667
5,erratic,LSTM,12,Item × Store,200,0.08333333333333334,0.09390733139174705,1.1268879767009645
5,erratic,XGBoost,1,Total,1,0.08333333333333333,0.04641069754459269,0.5569283705351123
5,erratic,XGBoost,2,State,3,0.08333333333333333,0.04714961057246962,0.5657953268696355
5,erratic,XGBoost,3,Store,10,0.08333333333333333,0.05367091651212228,0.6440509981454674
5,erratic,XGBoost,4,Category,3,0.08333333333333334,0.054574341838023586,0.654892102056283
5,erratic,XGBoost,5,Department,5,0.08333333333333334,0.05365021070832816,0.6438025284999378
5,erratic,XGBoost,6,State × Category,9,0.08333333333333333,0.053791315988602165,0.645495791863226
5,erratic,XGBoost,7,State × Department,15,0.08333333333333331,0.06015074799984789,0.7218089759981748
5,erratic,XGBoost,8,Store × Category,25,0.08333333333333334,0.05855797279322048,0.7026956735186457
5,erratic,XGBoost,9,Store × Department,39,0.08333333333333334,0.06813421294535538,0.8176105553442644
5,erratic,XGBoost,10,Item,119,0.08333333333333331,0.07275520822704919,0.8730624987245904
5,erratic,XGBoost,11,Item × State,171,0.08333333333333334,0.0759951524456806,0.9119418293481671
5,erratic,XGBoost,12,Item × Store,200,0.08333333333333334,0.07686450785796647,0.9223740942955976
5,smooth,LSTM,1,Total,1,0.08333333333333333,0.08821030267717957,1.0585236321261549
5,smooth,LSTM,2,State,3,0.08333333333333334,0.08164102952896185,0.9796923543475421
5,smooth,LSTM,3,Store,10,0.08333333333333334,0.07743203858849305,0.9291844630619166
5,smooth,LSTM,4,Category,3,0.08333333333333334,0.0852737048919105,1.0232844587029257
5,smooth,LSTM,5,Department,5,0.08333333333333334,0.08379465425686716,1.0055358510824057
5,smooth,LSTM,6,State × Category,9,0.08333333333333334,0.07805327313566356,0.9366392776279626
5,smooth,LSTM,7,State × Department,14,0.08333333333333334,0.07472255751450897,0.8966706901741076
5,smooth,LSTM,8,Store × Category,29,0.08333333333333333,0.07198068250778603,0.8637681900934323
5,smooth,LSTM,9,Store × Department,39,0.08333333333333333,0.06900476478451427,0.8280571774141713
5,smooth,LSTM,10,Item,142,0.08333333333333334,0.06814192391627005,0.8177030869952405
5,smooth,LSTM,11,Item × State,180,0.08333333333333333,0.0681947467400417,0.8183369608805003
5,smooth,LSTM,12,Item × Store,200,0.08333333333333334,0.06732294938288798,0.8078753925946557
5,smooth,XGBoost,1,Total,1,0.08333333333333333,0.03936696504913592,0.47240358058963106
5,smooth,XGBoost,2,State,3,0.08333333333333334,0.04603975330882108,0.5524770397058529
5,smooth,XGBoost,3,Store,10,0.08333333333333334,0.05267905601428557,0.6321486721714268
5,smooth,XGBoost,4,Category,3,0.08333333333333334,0.043155286631594666,0.5178634395791359
5,smooth,XGBoost,5,Department,5,0.08333333333333334,0.04445980726072619,0.5335176871287142
5,smooth,XGBoost,6,State × Category,9,0.08333333333333334,0.051700243133237234,0.6204029175988467
5,smooth,XGBoost,7,State × Department,14,0.08333333333333334,0.05187118034228849,0.6224541641074618
5,smooth,XGBoost,8,Store × Category,29,0.08333333333333333,0.055192853330193255,0.6623142399623191
5,smooth,XGBoost,9,Store × Department,39,0.08333333333333333,0.05589181478141086,0.6707017773769304
5,smooth,XGBoost,10,Item,142,0.08333333333333334,0.06276787646305199,0.7532145175566237
