fold,demand_type,ablation_name,removed_feature_group,removed_features,removed_feature_count,retained_feature_count,training_rows,selected_rounds,train_end,test_start,test_end,full_xgb_wrmsse,ablation_wrmsse,delta_wrmsse,wrmsse_change_percentage,full_xgb_mae,ablation_mae,delta_mae,mae_change_percentage,full_xgb_rmse,ablation_rmse,delta_rmse,rmse_change_percentage,feature_group_useful_wrmsse,feature_group_harmful_wrmsse,hierarchy_levels_worsened,prediction_rows,series_count,horizon_count,training_seconds,prediction_seconds
2,erratic,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,354600,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,1.1177125652023188,0.28851675911808383,34.79476825631394,3.695783122062151,3.7860262098855206,0.09024308782336954,2.4417852683145607,5.842284595627961,6.117489067073321,0.27520447144535964,4.7105625708700885,True,False,12,5600,200,28,1.8775549000129104,0.2156896002124995
2,erratic,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,354600,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,0.8821077814890792,0.05291197540484427,6.381119515632131,3.695783122062151,3.701407160942576,0.005624038880424731,0.15217448358513697,5.842284595627961,5.945591371518931,0.10330677589096915,1.7682599024408732,True,False,12,5600,200,28,1.9159546000882983,0.22068240004591644
2,erratic,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,354600,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,0.8267916523851698,-0.0024041536990651036,-0.2899379955162092,3.695783122062151,3.7386609771421977,0.0428778550800466,1.160183205126005,5.842284595627961,5.92716124560711,0.08487664997914823,1.4527989622872046,False,True,5,5600,200,28,1.8369208998046815,0.22706900001503527
2,erratic,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,354600,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,0.8314807128102295,0.0022849067259945732,0.2755569564183804,3.695783122062151,3.687502893395722,-0.008280228666428968,-0.22404530766428782,5.842284595627961,5.943919002757282,0.10163440712932026,1.7396346491812085,True,False,5,5600,200,28,1.6980715999379754,0.23323519993573427
2,erratic,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,354600,175,2016-01-31,2016-02-01,2016-02-28,0.8291958060842349,0.8093524687620653,-0.019843337322169585,-2.393082210084619,3.695783122062151,3.8370101773525986,0.14122705529044755,3.821302566359644,5.842284595627961,6.005134604353275,0.16285000872531352,2.7874371071751853,False,True,4,5600,200,28,2.094713000115007,0.2387808000203222
2,intermittent,without_calendar,calendar,"is_weekend, weekday, month, year",4,14,354600,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,1.103926604842888,0.08203090754893938,8.027326836404436,0.640637954418032,0.6513770123846396,0.010739057966607679,1.6763068582727432,1.141953024173127,1.1675832216668272,0.025630197493700102,2.2444178482962194,True,False,12,5600,200,28,1.5020399999339134,0.20836959988810122
2,intermittent,without_event_snap,event_snap,"event_flag, event_type_encoded, snap_flag",3,15,354600,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,0.9895682220758318,-0.03232747521811674,-3.163480901595159,0.640637954418032,0.6410048325462933,0.0003668781282613054,0.05726762295789744,1.141953024173127,1.1367242914685602,-0.0052287327045668075,-0.4578763393838256,False,True,0,5600,200,28,1.5225500001106411,0.22313539986498654
2,intermittent,without_lag,lag,"lag_7, lag_14, lag_28, lag_56",4,14,354600,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,1.0128516436207202,-0.009044053673228358,-0.8850270822333087,0.640637954418032,0.6449409849160916,0.00430303049805969,0.6716789831736784,1.141953024173127,1.1481613641321378,0.006208339959010711,0.5436598378034059,False,True,4,5600,200,28,1.6005681999959052,0.2661988001782447
2,intermittent,without_price,price,"sell_price, price_change, price_vs_28d_avg",3,15,354600,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,0.9663673454660229,-0.055528351827925704,-5.433857092751117,0.640637954418032,0.6407677929421646,0.00012983852413261943,0.020267067106657342,1.141953024173127,1.1333329794596476,-0.008620044713479436,-0.7548510780223289,False,True,0,5600,200,28,1.9675648000556976,0.33114699996076524
2,intermittent,without_rolling,rolling,"rolling_mean_7, rolling_std_7, rolling_mean_28, rolling_std_28",4,14,354600,160,2016-01-31,2016-02-01,2016-02-28,1.0218956972939486,1.0253281758703046,0.0034324785763559795,0.3358932409095589,0.640637954418032,0.7008126105634229,0.06017465614539097,9.392927117478516,1.141953024173127,1.2015490423466244,0.059596018173497356,5.218780187271717,True,False,7,5600,200,28,1.6153312001843005,0.22080050013028085
