fold_label,demand_type,level,hierarchy_series,level_weight_share,ablation_wrmsse_contribution,minimum_test_days,maximum_test_days,ablation_level_wrmsse,full_xgb_level_wrmsse,fold,ablation_name,removed_feature_group,delta_level_wrmsse,feature_group_useful_at_level
Step17_Fold2_lumpy_without_price,lumpy,L1_Total,1,0.08333333333333333,0.08980852144197726,28,28,1.0777022573037272,1.1321685857705828,2,without_price,price,-0.05446632846685562,False
Step17_Fold2_lumpy_without_price,lumpy,L2_State,3,0.08333333333333334,0.0927904586453126,28,28,1.113485503743751,1.142715533732969,2,without_price,price,-0.029230029989218087,False
Step17_Fold2_lumpy_without_price,lumpy,L3_Store,10,0.08333333333333334,0.10204461002530395,28,28,1.2245353203036473,1.212813292664723,2,without_price,price,0.01172202763892427,True
Step17_Fold2_lumpy_without_price,lumpy,L4_Category,3,0.08333333333333334,0.10478256055971467,28,28,1.257390726716576,1.284399771408914,2,without_price,price,-0.02700904469233789,False
Step17_Fold2_lumpy_without_price,lumpy,L5_Department,7,0.08333333333333333,0.12032346367266569,28,28,1.4438815640719884,1.403611919645848,2,without_price,price,0.04026964442614034,True
Step17_Fold2_lumpy_without_price,lumpy,L6_State_Category,9,0.08333333333333334,0.0985129019895655,28,28,1.1821548238747859,1.201557799161571,2,without_price,price,-0.01940297528678503,False
Step17_Fold2_lumpy_without_price,lumpy,L7_State_Department,21,0.08333333333333333,0.11151706143875184,28,28,1.338204737265022,1.3074902011488745,2,without_price,price,0.030714536116147606,True
Step17_Fold2_lumpy_without_price,lumpy,L8_Store_Category,30,0.08333333333333334,0.10768822642194795,28,28,1.2922587170633753,1.269733558568452,2,without_price,price,0.022525158494923314,True
Step17_Fold2_lumpy_without_price,lumpy,L9_Store_Department,59,0.08333333333333333,0.10558397939481572,28,28,1.2670077527377888,1.2253307012783996,2,without_price,price,0.04167705145938916,True
Step17_Fold2_lumpy_without_rolling,lumpy,L10_Item,182,0.08333333333333333,0.09533583713296906,28,28,1.1440300455956287,1.1186990988394083,2,without_rolling,rolling,0.025330946756220385,True
Step17_Fold2_lumpy_without_rolling,lumpy,L11_Item_State,197,0.08333333333333333,0.09508841592538525,28,28,1.141060991104623,1.1131907521090254,2,without_rolling,rolling,0.027870238995597596,True
Step17_Fold2_lumpy_without_rolling,lumpy,L12_Item_Store,200,0.08333333333333333,0.09527919699687351,28,28,1.1433503639624822,1.1167441796691282,2,without_rolling,rolling,0.02660618429335404,True
Step17_Fold2_lumpy_without_rolling,lumpy,L1_Total,1,0.08333333333333333,0.0729624552953824,28,28,0.8755494635445887,1.1321685857705828,2,without_rolling,rolling,-0.25661912222599403,False
Step17_Fold2_lumpy_without_rolling,lumpy,L2_State,3,0.08333333333333334,0.09317680540852352,28,28,1.118121664902282,1.142715533732969,2,without_rolling,rolling,-0.024593868830687038,False
Step17_Fold2_lumpy_without_rolling,lumpy,L3_Store,10,0.08333333333333334,0.10016836607731747,28,28,1.2020203929278095,1.212813292664723,2,without_rolling,rolling,-0.010792899736913553,False
Step17_Fold2_lumpy_without_rolling,lumpy,L4_Category,3,0.08333333333333334,0.08011277125725302,28,28,0.9613532550870362,1.284399771408914,2,without_rolling,rolling,-0.32304651632187775,False
Step17_Fold2_lumpy_without_rolling,lumpy,L5_Department,7,0.08333333333333333,0.1029053015550566,28,28,1.2348636186606794,1.403611919645848,2,without_rolling,rolling,-0.1687483009851687,False
Step17_Fold2_lumpy_without_rolling,lumpy,L6_State_Category,9,0.08333333333333334,0.09303114904055321,28,28,1.1163737884866383,1.201557799161571,2,without_rolling,rolling,-0.08518401067493264,False
Step17_Fold2_lumpy_without_rolling,lumpy,L7_State_Department,21,0.08333333333333333,0.10352556280752971,28,28,1.2423067536903567,1.3074902011488745,2,without_rolling,rolling,-0.06518344745851778,False
Step17_Fold2_lumpy_without_rolling,lumpy,L8_Store_Category,30,0.08333333333333334,0.10236614409724994,28,28,1.228393729166999,1.269733558568452,2,without_rolling,rolling,-0.041339829401452866,False
Step17_Fold2_lumpy_without_rolling,lumpy,L9_Store_Department,59,0.08333333333333333,0.0998878993401826,28,28,1.1986547920821913,1.2253307012783996,2,without_rolling,rolling,-0.026675909196208325,False
Step17_Fold2_smooth_without_calendar,smooth,L10_Item,142,0.08333333333333333,0.0679474272484159,28,28,0.8153691269809908,0.7715068373318515,2,without_calendar,calendar,0.0438622896491393,True
Step17_Fold2_smooth_without_calendar,smooth,L11_Item_State,180,0.08333333333333333,0.06775378007183541,28,28,0.813045360862025,0.7814301901990073,2,without_calendar,calendar,0.03161517066301767,True
Step17_Fold2_smooth_without_calendar,smooth,L12_Item_Store,200,0.08333333333333333,0.06771615163139286,28,28,0.8125938195767143,0.7855439558978377,2,without_calendar,calendar,0.02704986367887663,True
Step17_Fold2_smooth_without_calendar,smooth,L1_Total,1,0.08333333333333333,0.06627999505656432,28,28,0.7953599406787718,0.4621671394718468,2,without_calendar,calendar,0.333192801206925,True
Step17_Fold2_smooth_without_calendar,smooth,L2_State,3,0.08333333333333333,0.06515775590191943,28,28,0.7818930708230332,0.514108178809357,2,without_calendar,calendar,0.26778489201367617,True
Step17_Fold2_smooth_without_calendar,smooth,L3_Store,10,0.08333333333333333,0.06575486283622814,28,28,0.7890583540347377,0.636778599910317,2,without_calendar,calendar,0.15227975412442063,True
Step17_Fold2_smooth_without_calendar,smooth,L4_Category,3,0.08333333333333334,0.06675008341639074,28,28,0.8010010009966888,0.5577927281882177,2,without_calendar,calendar,0.24320827280847113,True
Step17_Fold2_smooth_without_calendar,smooth,L5_Department,5,0.08333333333333334,0.06611310468942165,28,28,0.7933572562730598,0.5886495691646546,2,without_calendar,calendar,0.20470768710840515,True
Step17_Fold2_smooth_without_calendar,smooth,L6_State_Category,9,0.08333333333333333,0.06614448755536649,28,28,0.7937338506643979,0.6012847179861031,2,without_calendar,calendar,0.1924491326782949,True
Step17_Fold2_smooth_without_calendar,smooth,L7_State_Department,14,0.08333333333333333,0.06569832908922091,28,28,0.7883799490706509,0.6344201568420889,2,without_calendar,calendar,0.15395979222856204,True
Step17_Fold2_smooth_without_calendar,smooth,L8_Store_Category,29,0.08333333333333333,0.06508139350141853,28,28,0.7809767220170224,0.6757509969850694,2,without_calendar,calendar,0.10522572503195304,True
Step17_Fold2_smooth_without_calendar,smooth,L9_Store_Department,39,0.08333333333333333,0.06470704190181104,28,28,0.7764845028217324,0.6941421807321775,2,without_calendar,calendar,0.08234232208955494,True
Step17_Fold2_smooth_without_event_snap,smooth,L10_Item,142,0.08333333333333333,0.06517782774351827,28,28,0.7821339329222192,0.7715068373318515,2,without_event_snap,event_snap,0.010627095590367674,True
Step17_Fold2_smooth_without_event_snap,smooth,L11_Item_State,180,0.08333333333333333,0.06566251560475728,28,28,0.7879501872570873,0.7814301901990073,2,without_event_snap,event_snap,0.00651999705808004,True
Step17_Fold2_smooth_without_event_snap,smooth,L12_Item_Store,200,0.08333333333333333,0.06589381802528241,28,28,0.7907258163033889,0.7855439558978377,2,without_event_snap,event_snap,0.005181860405551242,True
Step17_Fold2_smooth_without_event_snap,smooth,L1_Total,1,0.08333333333333333,0.04803190492790846,28,28,0.5763828591349015,0.4621671394718468,2,without_event_snap,event_snap,0.11421571966305472,True
Step17_Fold2_smooth_without_event_snap,smooth,L2_State,3,0.08333333333333333,0.04674288663496912,28,28,0.5609146396196295,0.514108178809357,2,without_event_snap,event_snap,0.04680646081027251,True
Step17_Fold2_smooth_without_event_snap,smooth,L3_Store,10,0.08333333333333333,0.05538476242571266,28,28,0.664617149108552,0.636778599910317,2,without_event_snap,event_snap,0.02783854919823492,True
Step17_Fold2_smooth_without_event_snap,smooth,L4_Category,3,0.08333333333333334,0.052609053028870034,28,28,0.6313086363464403,0.5577927281882177,2,without_event_snap,event_snap,0.07351590815822262,True
