demand_type,removed_feature_group,level,folds,mean_full_level_wrmsse,mean_ablation_level_wrmsse,mean_delta_level_wrmsse,median_delta_level_wrmsse,folds_removal_worsened_level
intermittent,price,L5_Department,5,1.325792885528149,1.3730157426405576,0.04722285711240866,0.1235594732597114,3
intermittent,price,L6_State_Category,5,1.2756879404549093,1.298108177234457,0.02242023677954752,-0.0033839651758790223,2
intermittent,price,L7_State_Department,5,1.1578624553726828,1.1700229506242448,0.012160495251561865,-0.03457124850177695,2
intermittent,price,L8_Store_Category,5,1.0576193074838067,1.0589882842457192,0.0013689767619124548,-0.022334788961820062,2
intermittent,price,L9_Store_Department,5,1.0043907347319467,1.004105592075062,-0.00028514265688497355,-0.014686022888677486,2
intermittent,price,L10_Item,5,0.8874435461365959,0.8765090157366672,-0.010934530399928755,-0.007524368550262173,2
intermittent,price,L11_Item_State,5,0.8855107178520285,0.8749009758328669,-0.010609742019161539,-0.007079680318958781,2
intermittent,price,L12_Item_Store,5,0.8722334675693311,0.8707351921937653,-0.0014982753755659272,-0.007084081805142417,2
lumpy,lag,L1_Total,5,1.1860975668255214,1.1412923585497174,-0.04480520827580383,-0.013663025721475597,2
lumpy,lag,L2_State,5,1.1081804598738574,1.08824128833584,-0.019939171538017098,-0.0010891324001665037,2
lumpy,lag,L3_Store,5,1.084735085684267,1.0873670458050442,0.0026319601207773547,0.028677364891689483,4
lumpy,lag,L4_Category,5,1.2322470903106546,1.2048627576593793,-0.027384332651275288,0.006547498149895414,3
lumpy,lag,L5_Department,5,1.2245778381507377,1.2126913672738988,-0.011886470876838872,0.03516717948280501,4
lumpy,lag,L6_State_Category,5,1.1118402036216435,1.099239038690748,-0.012601164930895336,0.005902765606772276,4
lumpy,lag,L7_State_Department,5,1.1385413582451958,1.137025397525837,-0.0015159607193583557,0.042279507496006175,4
lumpy,lag,L8_Store_Category,5,1.1089210534276743,1.1083760452174232,-0.0005450082102511411,0.02410388758013282,4
lumpy,lag,L9_Store_Department,5,1.1289405974170355,1.1327918989128958,0.0038513014958606153,0.035255168615016874,4
lumpy,lag,L10_Item,5,1.0741109022453874,1.0797191399692245,0.005608237723837206,0.019084477358984886,4
lumpy,lag,L11_Item_State,5,1.0657875275901998,1.0715006328275813,0.005713105237381599,0.01962487503479382,4
lumpy,lag,L12_Item_Store,5,1.0661853561923444,1.0719518050570662,0.005766448864721529,0.02045338085965298,4
lumpy,rolling,L1_Total,5,1.1860975668255214,0.9826063722890689,-0.20349119453645242,-0.23482490573133608,1
lumpy,rolling,L2_State,5,1.1081804598738574,1.0318639567874228,-0.07631650308643449,-0.024593868830687038,2
lumpy,rolling,L3_Store,5,1.084735085684267,1.0949949038110909,0.010259818126823816,-0.010792899736913553,2
lumpy,rolling,L4_Category,5,1.2322470903106546,1.0112548347989543,-0.22099225551170032,-0.2719226802988761,1
lumpy,rolling,L5_Department,5,1.2245778381507377,1.1102849246309536,-0.11429291351978399,-0.16077017814147188,1
lumpy,rolling,L6_State_Category,5,1.1118402036216435,1.047411539753362,-0.06442866386828117,-0.08518401067493264,2
lumpy,rolling,L7_State_Department,5,1.1385413582451958,1.117322899667839,-0.021218458577356512,-0.06518344745851778,2
lumpy,rolling,L8_Store_Category,5,1.1089210534276743,1.1225202160580685,0.013599162630394134,-0.03268755552342584,2
lumpy,rolling,L9_Store_Department,5,1.1289405974170355,1.1436132990331256,0.014672701616090378,-0.017361134586018956,2
lumpy,rolling,L10_Item,5,1.0741109022453874,1.1043841011522666,0.030273198906879184,0.025330946756220385,3
lumpy,rolling,L11_Item_State,5,1.0657875275901998,1.097331614229439,0.031544086639239355,0.027870238995597596,3
lumpy,rolling,L12_Item_Store,5,1.0661853561923444,1.097352927446185,0.031167571253840443,0.02660618429335404,3
lumpy,calendar,L1_Total,5,1.1860975668255214,1.3465358776979908,0.16043831087246957,0.3235109683247044,4
lumpy,calendar,L2_State,5,1.1081804598738574,1.17830942945875,0.07012896958489259,0.19245781311943055,4
lumpy,calendar,L3_Store,5,1.084735085684267,1.1008280763975777,0.01609299071331085,0.06531932738852009,4
lumpy,calendar,L4_Category,5,1.2322470903106546,1.3632140457189097,0.13096695540825515,0.18542580024943267,4
lumpy,calendar,L5_Department,5,1.2245778381507377,1.2804221270551326,0.05584428890439488,0.13651024230650965,4
lumpy,calendar,L6_State_Category,5,1.1118402036216435,1.1822113898465467,0.07037118622490335,0.10866803526679725,4
lumpy,calendar,L7_State_Department,5,1.1385413582451958,1.1703307581676945,0.03178939992249898,0.08243318544611888,4
lumpy,calendar,L8_Store_Category,5,1.1089210534276743,1.125966041595553,0.017044988167878604,0.03810824687813419,4
lumpy,calendar,L9_Store_Department,5,1.1289405974170355,1.127240799704271,-0.001699797712764206,0.023501447248760465,4
